         Google	              -
        Stephen	              -
          Temko	              -
              ,	              -
            San	              -
           Jose	              -
              ,	              -
            for	              -
     Respondent	              -
              .	              -

            643	              -
           *643	              -
          AARON	              -
              ,	              -
             J.	              -

             I.	              -

   INTRODUCTION	              -

       Michelle	              -	      B-A0	         O	         O	         O	         O
    Shaughnessy	              -	      I-A0	         O	         O	         O	         O
              (	              -	      I-A0	         O	         O	         O	         O
       Michelle	              -	      I-A0	         O	         O	         O	         O
              )	              -	      E-A0	         O	         O	         O	         O
        appeals	        appeals	       S-V	         O	         O	         O	         O
           from	              -	      B-A1	         O	         O	         O	         O
              a	              -	      I-A1	      B-A1	         O	         O	         O
   postjudgment	              -	      I-A1	      I-A1	         O	         O	         O
          order	              -	      I-A1	      E-A1	         O	         O	         O
        entered	        entered	      I-A1	       S-V	         O	         O	         O
             on	              -	      I-A1	  B-AM-TMP	         O	         O	         O
          April	              -	      I-A1	  I-AM-TMP	         O	         O	         O
             14	              -	      I-A1	  I-AM-TMP	         O	         O	         O
              ,	              -	      I-A1	  I-AM-TMP	         O	         O	         O
           2005	              -	      I-A1	  E-AM-TMP	         O	         O	         O
              ,	              -	      I-A1	         O	         O	         O	         O
      modifying	      modifying	      I-A1	  B-AM-ADV	       S-V	         O	         O
              a	              -	      I-A1	  I-AM-ADV	      B-A1	      B-A0	         O
           2003	              -	      I-A1	  I-AM-ADV	      I-A1	      I-A0	         O
       judgment	              -	      I-A1	  I-AM-ADV	      I-A1	      E-A0	         O
           that	              -	      I-A1	  I-AM-ADV	      I-A1	    S-R-A0	         O
       required	       required	      I-A1	  I-AM-ADV	      I-A1	       S-V	         O
            her	              -	      I-A1	  I-AM-ADV	      I-A1	      B-A1	         O
         former	              -	      I-A1	  I-AM-ADV	      I-A1	      I-A1	         O
        husband	              -	      I-A1	  I-AM-ADV	      I-A1	      I-A1	         O
              ,	              -	      I-A1	  I-AM-ADV	      I-A1	      I-A1	         O
             C.	              -	      I-A1	  I-AM-ADV	      I-A1	      I-A1	      B-A0
           Greg	              -	      I-A1	  I-AM-ADV	      I-A1	      I-A1	      I-A0
    Shaughnessy	              -	      I-A1	  I-AM-ADV	      I-A1	      I-A1	      E-A0
              (	              -	      I-A1	  I-AM-ADV	      I-A1	      I-A1	         O
           Greg	              -	      I-A1	  I-AM-ADV	      I-A1	      I-A1	         O
              )	              -	      I-A1	  I-AM-ADV	      I-A1	      E-A1	         O
              ,	              -	      I-A1	  I-AM-ADV	      I-A1	         O	         O
             to	              -	      I-A1	  I-AM-ADV	      I-A1	         O	         O
            pay	            pay	      I-A1	  I-AM-ADV	      I-A1	         O	       S-V
            her	              -	      I-A1	  I-AM-ADV	      I-A1	         O	      B-A1
        spousal	              -	      I-A1	  I-AM-ADV	      I-A1	         O	      I-A1
        support	              -	      E-A1	  E-AM-ADV	      E-A1	         O	      E-A1
              .	              -	         O	         O	         O	         O	         O

       Michelle	              -	      B-A1	      B-A0
            and	              -	      I-A1	      I-A0
           Greg	              -	      E-A1	      E-A0
           were	              -	         O	         O
        married	        married	       S-V	         O
            for	              -	  B-AM-TMP	         O
             15	              -	  I-AM-TMP	         O
          years	              -	  E-AM-TMP	         O
            and	              -	         O	         O
            had	            had	         O	       S-V
             no	              -	         O	      B-A1
       children	              -	         O	      E-A1
              .	              -	         O	         O

             At	              -	         O
            the	              -	  B-AM-TMP
           time	              -	  E-AM-TMP
           they	              -	      S-A1
      separated	      separated	       S-V
             in	              -	  B-AM-TMP
          March	              -	  I-AM-TMP
           1995	              -	  E-AM-TMP
              ,	              -	         O
       Michelle	              -	         O
            was	              -	         O
             35	              -	         O
          years	              -	         O
            old	              -	         O
              .	              -	         O

             By	              -	  B-AM-TMP	         O
           2005	              -	  E-AM-TMP	         O
              ,	              -	         O	         O
           Greg	              -	      S-A0	      S-A0
            had	              -	         O	         O
           been	              -	         O	         O
         paying	         paying	       S-V	         O
       Michelle	              -	         O	         O
        spousal	              -	      B-A1	         O
        support	              -	      E-A1	         O
            for	              -	  B-AM-TMP	         O
         nearly	              -	  I-AM-TMP	         O
             10	              -	  I-AM-TMP	         O
          years	              -	  E-AM-TMP	         O
              ,	              -	         O	         O
  supplementing	  supplementing	  B-AM-ADV	       S-V
            her	              -	  I-AM-ADV	      B-A1
         income	              -	  I-AM-ADV	      E-A1
             as	              -	  I-AM-ADV	      B-A2
              a	              -	  I-AM-ADV	      I-A2
  self-employed	              -	  I-AM-ADV	      I-A2
        florist	              -	  E-AM-ADV	      E-A2
              .	              -	         O	         O

             In	              -	         O	  B-AM-LOC	         O	         O	         O	         O	         O
            the	              -	         O	  I-AM-LOC	         O	         O	         O	         O	         O
           2005	              -	         O	  I-AM-LOC	         O	         O	         O	         O	         O
          order	              -	         O	  I-AM-LOC	         O	         O	         O	         O	         O
      modifying	      modifying	       S-V	  I-AM-LOC	         O	         O	         O	         O	         O
            the	              -	      B-A1	  I-AM-LOC	         O	         O	         O	         O	         O
       judgment	              -	      E-A1	  E-AM-LOC	         O	         O	         O	         O	         O
              ,	              -	         O	         O	         O	         O	         O	         O	         O
            the	              -	         O	      B-A0	         O	         O	         O	         O	         O
          trial	              -	         O	      I-A0	         O	         O	         O	         O	         O
          court	              -	         O	      E-A0	         O	         O	         O	         O	         O
        ordered	        ordered	         O	       S-V	         O	         O	         O	         O	         O
           that	              -	         O	      B-A1	         O	         O	         O	         O	         O
            the	              -	         O	      I-A1	      B-A1	         O	         O	         O	         O
         amount	              -	         O	      I-A1	      I-A1	         O	         O	         O	         O
             of	              -	         O	      I-A1	      I-A1	         O	         O	         O	         O
        spousal	              -	         O	      I-A1	      I-A1	         O	         O	         O	         O
        support	              -	         O	      I-A1	      E-A1	         O	         O	         O	         O
             be	              -	         O	      I-A1	         O	         O	         O	         O	         O
        reduced	        reduced	         O	      I-A1	       S-V	         O	         O	         O	         O
           from	              -	         O	      I-A1	      B-A3	         O	         O	         O	         O
              $	              -	         O	      I-A1	      I-A3	         O	         O	         O	         O
          2,000	              -	         O	      I-A1	      I-A3	         O	         O	         O	         O
            per	              -	         O	      I-A1	      I-A3	         O	         O	         O	         O
          month	              -	         O	      I-A1	      E-A3	         O	         O	         O	         O
             to	              -	         O	      I-A1	      B-A4	         O	         O	         O	         O
              $	              -	         O	      I-A1	      I-A4	         O	         O	         O	         O
          1,000	              -	         O	      I-A1	      I-A4	         O	         O	         O	         O
            per	              -	         O	      I-A1	      I-A4	         O	         O	         O	         O
          month	              -	         O	      I-A1	      I-A4	         O	         O	         O	         O
      beginning	      beginning	         O	      I-A1	      I-A4	       S-V	         O	         O	         O
        January	              -	         O	      I-A1	      I-A4	  B-AM-TMP	         O	         O	         O
              1	              -	         O	      I-A1	      I-A4	  I-AM-TMP	         O	         O	         O
              ,	              -	         O	      I-A1	      I-A4	  I-AM-TMP	         O	         O	         O
           2006	              -	         O	      I-A1	      I-A4	  E-AM-TMP	         O	         O	         O
              ,	              -	         O	      I-A1	      I-A4	         O	         O	         O	         O
            and	              -	         O	      I-A1	      I-A4	         O	         O	         O	         O
           that	              -	         O	      I-A1	      I-A4	         O	         O	         O	         O
        support	              -	         O	      I-A1	      I-A4	         O	      S-A1	         O	         O
      terminate	      terminate	         O	      I-A1	      I-A4	         O	       S-V	         O	         O
             on	              -	         O	      I-A1	      I-A4	         O	  B-AM-TMP	         O	         O
           June	              -	         O	      I-A1	      I-A4	         O	  I-AM-TMP	         O	         O
             30	              -	         O	      I-A1	      I-A4	         O	  I-AM-TMP	         O	         O
              ,	              -	         O	      I-A1	      I-A4	         O	  I-AM-TMP	         O	         O
           2006	              -	         O	      I-A1	      E-A4	         O	  E-AM-TMP	         O	         O
              ,	              -	         O	      I-A1	         O	         O	         O	         O	         O
         unless	              -	         O	      I-A1	  B-AM-ADV	         O	  B-AM-ADV	         O	         O
       Michelle	              -	         O	      I-A1	  I-AM-ADV	         O	  I-AM-ADV	      S-A0	      S-A0
   demonstrates	   demonstrates	         O	      I-A1	  I-AM-ADV	         O	  I-AM-ADV	       S-V	         O
              a	              -	         O	      I-A1	  I-AM-ADV	         O	  I-AM-ADV	      B-A1	         O
     compelling	              -	         O	      I-A1	  I-AM-ADV	         O	  I-AM-ADV	      I-A1	         O
         reason	              -	         O	      I-A1	  I-AM-ADV	         O	  I-AM-ADV	      I-A1	         O
             to	              -	         O	      I-A1	  I-AM-ADV	         O	  I-AM-ADV	      I-A1	         O
         extend	         extend	         O	      I-A1	  I-AM-ADV	         O	  I-AM-ADV	      I-A1	       S-V
            the	              -	         O	      I-A1	  I-AM-ADV	         O	  I-AM-ADV	      I-A1	      B-A1
         period	              -	         O	      I-A1	  I-AM-ADV	         O	  I-AM-ADV	      I-A1	      I-A1
             of	              -	         O	      I-A1	  I-AM-ADV	         O	  I-AM-ADV	      I-A1	      I-A1
        support	              -	         O	      E-A1	  E-AM-ADV	         O	  E-AM-ADV	      E-A1	      E-A1
              .	              -	         O	         O	         O	         O	         O	         O	         O

             On	              -	  B-AM-DIS	         O	         O	         O	         O
         appeal	              -	  E-AM-DIS	         O	         O	         O	         O
              ,	              -	         O	         O	         O	         O	         O
       Michelle	              -	      S-A0	         O	      S-A0	         O	         O
         claims	         claims	       S-V	         O	         O	         O	         O
            the	              -	      B-A1	      B-A0	      B-A0	         O	         O
          trial	              -	      I-A1	      I-A0	      I-A0	         O	         O
          court	              -	      I-A1	      E-A0	      E-A0	         O	         O
         abused	         abused	      I-A1	       S-V	         O	         O	         O
            its	              -	      I-A1	      B-A1	         O	         O	         O
     discretion	              -	      I-A1	      E-A1	         O	         O	         O
             in	              -	      I-A1	      B-A4	         O	         O	         O
       ordering	       ordering	      I-A1	      I-A4	       S-V	         O	         O
           that	              -	      I-A1	      I-A4	      B-A1	         O	         O
        spousal	              -	      I-A1	      I-A4	      I-A1	      B-A1	      B-A1
        support	              -	      I-A1	      I-A4	      I-A1	      E-A1	      E-A1
             be	              -	      I-A1	      I-A4	      I-A1	         O	         O
        reduced	        reduced	      I-A1	      I-A4	      E-A1	       S-V	         O
            and	              -	      I-A1	      I-A4	         O	         O	         O
           then	              -	      I-A1	      I-A4	         O	         O	  S-AM-TMP
     terminated	     terminated	      E-A1	      E-A4	         O	         O	       S-V
              .	              -	         O	         O	         O	         O	         O

   Specifically	              -	  S-AM-DIS	         O	         O	         O
              ,	              -	         O	         O	         O	         O
       Michelle	              -	      S-A0	         O	         O	         O
       contends	       contends	       S-V	         O	         O	         O
           that	              -	      B-A1	         O	         O	         O
          there	              -	      I-A1	         O	         O	         O
            has	              -	      I-A1	         O	         O	         O
           been	              -	      I-A1	         O	         O	         O
             no	              -	      I-A1	         O	         O	         O
       material	              -	      I-A1	         O	         O	         O
         change	              -	      I-A1	         O	         O	         O
             in	              -	      I-A1	         O	         O	         O
  circumstances	              -	      I-A1	         O	         O	         O
          since	              -	      I-A1	         O	         O	         O
            the	              -	      I-A1	      B-A0	         O	         O
       issuance	              -	      I-A1	      I-A0	         O	         O
             of	              -	      I-A1	      I-A0	         O	         O
            the	              -	      I-A1	      I-A0	         O	         O
          prior	              -	      I-A1	      I-A0	         O	         O
        spousal	              -	      I-A1	      I-A0	         O	         O
        support	              -	      I-A1	      I-A0	         O	         O
          award	              -	      I-A1	      E-A0	         O	         O
           that	              -	      I-A1	    S-R-A0	         O	         O
          would	              -	      I-A1	  S-AM-MOD	         O	         O
        justify	        justify	      I-A1	       S-V	         O	         O
              a	              -	      I-A1	      B-A1	         O	         O
         change	              -	      I-A1	      I-A1	         O	         O
             in	              -	      I-A1	      I-A1	         O	         O
            the	              -	      I-A1	      I-A1	         O	         O
        support	              -	      I-A1	      I-A1	         O	         O
          order	              -	      I-A1	      E-A1	         O	         O
              ,	              -	      I-A1	         O	         O	         O
            and	              -	      I-A1	         O	         O	         O
           that	              -	      I-A1	         O	         O	         O
            the	              -	      I-A1	         O	      B-A0	         O
       evidence	              -	      I-A1	         O	      E-A0	         O
            did	              -	      I-A1	         O	         O	         O
            not	              -	      I-A1	         O	  S-AM-NEG	         O
        support	        support	      I-A1	         O	       S-V	         O
            the	              -	      I-A1	         O	      B-A1	         O
          court	              -	      I-A1	         O	      I-A1	         O
             's	              -	      I-A1	         O	      I-A1	         O
        finding	              -	      I-A1	         O	      I-A1	         O
           that	              -	      I-A1	         O	      I-A1	         O
       Michelle	              -	      I-A1	         O	      I-A1	         O
          would	              -	      I-A1	         O	      I-A1	         O
             be	              -	      I-A1	         O	      I-A1	         O
   sufficiently	              -	      I-A1	         O	      I-A1	         O
self-supporting	              -	      I-A1	         O	      I-A1	         O
             by	              -	      I-A1	         O	      I-A1	         O
            the	              -	      I-A1	         O	      I-A1	      B-A1
          dates	              -	      I-A1	         O	      I-A1	      E-A1
            the	              -	      I-A1	         O	      I-A1	      B-A0
          court	              -	      I-A1	         O	      I-A1	      E-A0
            set	            set	      I-A1	         O	      I-A1	       S-V
            for	              -	      I-A1	         O	      I-A1	  B-AM-PNC
            the	              -	      I-A1	         O	      I-A1	  I-AM-PNC
      reduction	              -	      I-A1	         O	      I-A1	  I-AM-PNC
            and	              -	      I-A1	         O	      I-A1	  I-AM-PNC
    termination	              -	      I-A1	         O	      I-A1	  I-AM-PNC
             of	              -	      I-A1	         O	      I-A1	  I-AM-PNC
        support	              -	      E-A1	         O	      E-A1	  E-AM-PNC
              .	              -	         O	         O	         O	         O

       Michelle	              -	      S-A0	         O	         O	         O	         O	         O	         O
           also	              -	  S-AM-DIS	         O	         O	         O	         O	         O	         O
         claims	         claims	       S-V	         O	         O	         O	         O	         O	         O
           that	              -	      B-A1	         O	         O	         O	         O	         O	         O
            the	              -	      I-A1	      B-A0	      B-A0	         O	      B-A0	      B-A0	         O
          trial	              -	      I-A1	      I-A0	      I-A0	         O	      I-A0	      I-A0	         O
          court	              -	      I-A1	      E-A0	      E-A0	         O	      E-A0	      E-A0	         O
         abused	         abused	      I-A1	       S-V	         O	         O	         O	         O	         O
            its	              -	      I-A1	      B-A1	         O	         O	         O	         O	         O
     discretion	              -	      I-A1	      E-A1	         O	         O	         O	         O	         O
             in	              -	      I-A1	  B-AM-MNR	         O	         O	         O	         O	         O
       ordering	       ordering	      I-A1	  I-AM-MNR	       S-V	         O	         O	         O	         O
            her	              -	      I-A1	  I-AM-MNR	      B-A1	      B-A1	         O	         O	         O
        support	              -	      I-A1	  I-AM-MNR	      E-A1	      E-A1	         O	         O	         O
        reduced	        reduced	      I-A1	  E-AM-MNR	      S-A2	       S-V	         O	         O	         O
            and	              -	      I-A1	         O	         O	         O	         O	         O	         O
           then	              -	      I-A1	         O	         O	         O	  S-AM-TMP	         O	         O
     terminated	     terminated	      I-A1	         O	         O	         O	       S-V	         O	         O
        without	              -	      I-A1	         O	         O	         O	  B-AM-ADV	         O	         O
          first	              -	      I-A1	         O	         O	         O	  I-AM-ADV	  S-AM-TMP	         O
      providing	      providing	      I-A1	         O	         O	         O	  I-AM-ADV	       S-V	         O
            her	              -	      I-A1	         O	         O	         O	  I-AM-ADV	      S-A2	         O
           with	              -	      I-A1	         O	         O	         O	  I-AM-ADV	      B-A1	         O
       adequate	              -	      I-A1	         O	         O	         O	  I-AM-ADV	      I-A1	         O
        warning	              -	      I-A1	         O	         O	         O	  I-AM-ADV	      I-A1	         O
             of	              -	      I-A1	         O	         O	         O	  I-AM-ADV	      I-A1	         O
            the	              -	      I-A1	         O	         O	         O	  I-AM-ADV	      I-A1	         O
          court	              -	      I-A1	         O	         O	         O	  I-AM-ADV	      I-A1	         O
             's	              -	      I-A1	         O	         O	         O	  I-AM-ADV	      I-A1	         O
    expectation	              -	      I-A1	         O	         O	         O	  I-AM-ADV	      E-A1	         O
           that	              -	      I-A1	         O	         O	         O	  I-AM-ADV	         O	         O
            she	              -	      I-A1	         O	         O	         O	  I-AM-ADV	         O	      S-A1
         become	         become	      I-A1	         O	         O	         O	  I-AM-ADV	         O	       S-V
self-supporting	              -	      E-A1	         O	         O	         O	  E-AM-ADV	         O	      S-A2
              .	              -	         O	         O	         O	         O	         O	         O	         O

             We	              -	      S-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
       conclude	       conclude	       S-V	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
           that	              -	      B-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
            the	              -	      I-A1	      B-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
          trial	              -	      I-A1	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
          court	              -	      I-A1	      E-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
            did	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
            not	              -	      I-A1	  S-AM-NEG	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
          abuse	          abuse	      I-A1	       S-V	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
            its	              -	      I-A1	      B-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
     discretion	              -	      I-A1	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
             in	              -	      I-A1	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
      modifying	      modifying	      I-A1	      I-A1	       S-V	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
            the	              -	      I-A1	      I-A1	      B-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
          prior	              -	      I-A1	      I-A1	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
        spousal	              -	      I-A1	      I-A1	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
        support	              -	      I-A1	      I-A1	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
          award	              -	      I-A1	      I-A1	      E-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
              ,	              -	      I-A1	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
          based	          based	      I-A1	      I-A1	         O	       S-V	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
             on	              -	      I-A1	      I-A1	         O	      B-A2	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
            the	              -	      I-A1	      I-A1	         O	      I-A2	         O	      B-A0	         O	         O	         O	         O	         O	         O	         O	         O
      following	      following	      I-A1	      I-A1	         O	      I-A2	       S-V	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O
            645	              -	      I-A1	      I-A1	         O	      I-A2	      B-A1	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O
           *645	              -	      I-A1	      I-A1	         O	      I-A2	      E-A1	      E-A0	         O	         O	         O	         O	         O	         O	         O	         O
        changed	        changed	      I-A1	      I-A1	         O	      I-A2	         O	       S-V	         O	         O	         O	         O	         O	         O	         O	         O
  circumstances	              -	      I-A1	      E-A1	         O	      E-A2	         O	      S-A1	         O	         O	         O	         O	         O	         O	         O	         O
              :	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
       Michelle	              -	      I-A1	         O	         O	         O	         O	         O	      S-A1	      S-A0	      S-A1	      S-A1	         O	         O	         O	         O
         failed	         failed	      I-A1	         O	         O	         O	         O	         O	       S-V	         O	         O	         O	         O	         O	         O	         O
             to	              -	      I-A1	         O	         O	         O	         O	         O	      B-A1	         O	         O	         O	         O	         O	         O	         O
     diligently	              -	      I-A1	         O	         O	         O	         O	         O	      I-A1	  S-AM-MNR	         O	         O	         O	         O	         O	         O
           seek	           seek	      I-A1	         O	         O	         O	         O	         O	      I-A1	       S-V	         O	         O	         O	         O	         O	         O
             to	              -	      I-A1	         O	         O	         O	         O	         O	      I-A1	      B-A1	         O	         O	         O	         O	         O	         O
         become	         become	      I-A1	         O	         O	         O	         O	         O	      I-A1	      I-A1	       S-V	         O	         O	         O	         O	         O
self-supporting	              -	      I-A1	         O	         O	         O	         O	         O	      I-A1	      I-A1	      S-A2	         O	         O	         O	         O	         O
              ,	              -	      I-A1	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	         O	         O	         O	         O	         O
             as	              -	      I-A1	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	         O	         O	         O	         O	         O
       required	       required	      I-A1	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	       S-V	         O	         O	         O	         O
             by	              -	      I-A1	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	      B-A0	         O	         O	         O	         O
            the	              -	      I-A1	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	      I-A0	         O	         O	         O	         O
          terms	              -	      I-A1	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	      I-A0	         O	         O	         O	         O
             of	              -	      I-A1	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	      I-A0	         O	         O	         O	         O
            the	              -	      I-A1	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	      I-A0	         O	         O	         O	         O
          prior	              -	      I-A1	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	      I-A0	         O	         O	         O	         O
        spousal	              -	      I-A1	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	      I-A0	         O	         O	         O	         O
        support	              -	      I-A1	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O	      I-A0	         O	         O	         O	         O
          award	              -	      I-A1	         O	         O	         O	         O	         O	      E-A1	      E-A1	         O	      E-A0	         O	         O	         O	         O
              ;	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
       Michelle	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	      S-A0	         O	         O	         O
            was	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
      currently	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	  S-AM-TMP	         O	         O	         O
      receiving	      receiving	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	       S-V	         O	         O	         O
              $	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	      B-A1	         O	         O	         O
         20,000	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	         O	         O	         O
            per	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	         O	         O	         O
           year	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	      E-A1	         O	         O	         O
           from	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	      B-A3	         O	         O	         O
            her	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A3	         O	         O	         O
        parents	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	      E-A3	         O	         O	         O
              ;	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
            and	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O
            the	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      B-A0	         O	         O
          trial	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A0	         O	         O
          court	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      E-A0	         O	         O
          could	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	  S-AM-MOD	         O	         O
            now	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	  S-AM-TMP	         O	         O
      determine	      determine	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	       S-V	         O	         O
           that	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      B-A1	         O	         O
       Michelle	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	      B-A0	         O
             's	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A0	         O
         benign	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A0	         O
          tumor	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	      E-A0	         O
          would	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	  S-AM-MOD	         O
            not	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	  S-AM-NEG	         O
         affect	         affect	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	       S-V	         O
            her	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	      B-A1	         O
        ability	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O
             to	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	         O
         become	         become	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      I-A1	      I-A1	       S-V
self-supporting	              -	      E-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	      E-A1	      E-A1	      S-A2
              .	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O

             We	              -	      S-A0	         O	         O	         O
